Month,Sales,Loans,Investment,Total inflows,Salaries,Rent,Utilities,Marketing,Total Outflows,Net Cash flows
January,85000,20000,10000,115000,35000,12000,4500,5000,56500,58500
February,92000,0,5000,97000,35000,12000,4200,6000,57200,39800
March ,88000,15000,0,103000,35000,12000,4800,5500,57300,45700
April,105000,0,15000,120000,38000,12000,5000,7000,62000,58000
May,112000,0,5000,117000,38000,12000,5200,7500,62700,54300
June,118000,25000,0,143000,38000,12000,5600,8000,63600,79400
July,125000,0,20000,145000,40000,12000,5800,8500,66300,78700
August,121000,0,0,121000,40000,12000,5700,8000,65700,55300
September,130000,10000,5000,145000,40000,12000,5400,9000,66400,78600
October,138000,0,10000,148000,42000,12000,5000,9500,68500,79500
November,145000,0,0,145000,42000,12000,4800,10000,68800,76200
December,155000,20000,15000,190000,42000,12000,4600,12000,70600,119400
